Timestamp,Temperature,Humidity,SoilMoisture,CoPpm,LightLevel,IsRaining,Watering
2025-01-27 14:18:58.474589+07:00,20.100000381469727,37.900001525878906,11.0,135.77310769743292,29.170000076293945,0.0,1
2025-01-27 14:20:56.552301+07:00,20.100000381469727,37.900001525878906,11.0,135.9905829838384,29.170000076293945,0.0,1
2025-01-27 14:22:56.988603+07:00,20.200000762939453,37.20000076293945,11.0,119.27337298036493,28.32999992370605,0.0,1
2025-01-27 14:24:57.822581+07:00,20.200000762939453,38.29999923706055,11.0,135.70148654171152,29.170000076293945,0.0,1
2025-01-27 14:26:58.225038+07:00,20.200000762939453,36.20000076293945,11.0,122.22185515600069,28.32999992370605,0.0,1
2025-01-27 14:28:58.672791+07:00,20.200000762939453,38.59999847412109,11.0,141.41168880586014,29.170000076293945,0.0,1
2025-01-27 14:30:59.685775+07:00,20.299999237060547,38.79999923706055,11.0,136.97907535882024,25.82999992370605,0.0,1
2025-01-27 14:33:00.152717+07:00,20.299999237060547,39.20000076293945,11.0,136.27843301676046,27.5,0.0,1
2025-01-27 14:35:00.374316+07:00,20.299999237060547,38.0,11.0,115.85218617267113,27.5,0.0,1
2025-01-27 14:37:00.841808+07:00,20.299999237060547,39.0,11.0,113.541206817892,26.670000076293945,0.0,1
2025-01-27 14:37:27.222823+07:00,20.299999237060547,39.09999847412109,11.0,138.8030048635954,27.5,0.0,1
2025-01-27 14:37:32.309408+07:00,20.299999237060547,39.09999847412109,11.0,132.44435490098766,26.670000076293945,0.0,1
2025-01-27 14:39:27.872139+07:00,20.299999237060547,39.09999847412109,62.0,132.9765590758131,22.5,0.0,0
2025-01-27 14:39:31.930737+07:00,20.299999237060547,39.09999847412109,62.0,130.86893008040855,22.5,0.0,0
2025-01-27 14:39:37.859391+07:00,20.299999237060547,39.20000076293945,62.0,137.88009424067195,22.5,0.0,0
2025-01-27 14:41:28.117925+07:00,20.399999618530277,39.20000076293945,12.0,142.36723399851587,21.670000076293945,0.0,1
2025-01-27 14:41:29.946643+07:00,21.670000076293945,12.0,4.0,200.0,0.0,0.0,1
2025-01-27 14:43:29.416198+07:00,20.299999237060547,37.79999923706055,68.0,141.7460517530109,19.170000076293945,0.0,0
2025-01-27 14:46:17.184712+07:00,20.399999618530277,38.20000076293945,67.0,140.05551752303,18.32999992370605,0.0,0
2025-01-27 14:48:17.716448+07:00,20.299999237060547,37.20000076293945,27.0,135.87843862061447,18.32999992370605,0.0,1
2025-01-27 14:50:18.644339+07:00,20.299999237060547,35.900001525878906,33.0,140.90225572257287,18.32999992370605,0.0,1
2025-01-27 14:52:18.867246+07:00,20.299999237060547,36.900001525878906,35.0,134.77722774377995,18.32999992370605,0.0,1
2025-01-27 14:54:19.689632+07:00,20.299999237060547,37.79999923706055,64.0,159.5151380545749,16.670000076293945,0.0,0
2025-01-27 14:56:20.859733+07:00,20.399999618530277,38.29999923706055,64.0,160.82817542257425,17.5,0.0,0
2025-01-27 14:58:20.951526+07:00,20.299999237060547,38.09999847412109,63.0,154.62955977829063,17.5,0.0,0
2025-01-27 15:00:49.436302+07:00,20.299999237060547,37.900001525878906,65.0,158.25226245316168,12.5,0.0,0
2025-01-27 15:02:49.639093+07:00,20.299999237060547,38.09999847412109,64.0,129.33797736033802,16.670000076293945,0.0,0
2025-01-27 15:21:48.031808+07:00,20.100000381469727,38.400001525878906,18.0,192.2797318369205,20.82999992370605,0.0,1
2025-01-27 15:23:48.863632+07:00,20.200000762939453,36.70000076293945,18.0,129.2820417699276,20.0,0.0,1
2025-01-27 15:34:30.198259+07:00,19.799999237060547,38.79999923706055,11.0,175.34164912636254,4.170000076293945,0.0,1
2025-01-27 15:36:31.127864+07:00,19.799999237060547,39.0,10.0,172.8719871829019,5.0,0.0,1
2025-01-27 15:38:31.342904+07:00,19.799999237060547,40.09999847412109,10.0,112.57786230008988,5.829999923706055,0.0,1
2025-01-27 15:40:32.181001+07:00,19.799999237060547,40.400001525878906,10.0,173.8903260059618,6.670000076293945,0.0,1
2025-01-27 15:42:32.288289+07:00,19.799999237060547,40.59999847412109,10.0,169.41277882714903,6.670000076293945,0.0,1
2025-01-27 15:44:33.640444+07:00,19.700000762939453,40.70000076293945,9.0,169.60457593801317,6.670000076293945,0.0,1
2025-01-27 15:46:34.375106+07:00,19.799999237060547,40.59999847412109,9.0,168.4178675066276,6.670000076293945,0.0,1
2025-01-27 15:48:34.902893+07:00,19.799999237060547,40.59999847412109,9.0,168.3188966166384,6.670000076293945,0.0,1
2025-01-27 15:50:35.518893+07:00,19.799999237060547,40.5,9.0,166.73642129185518,6.670000076293945,0.0,1
2025-01-27 15:52:36.162284+07:00,19.700000762939453,40.5,9.0,132.15839266418166,5.0,0.0,1
2025-01-27 15:54:37.160305+07:00,19.700000762939453,40.79999923706055,9.0,168.34419499653683,6.670000076293945,0.0,1
2025-01-27 15:56:37.195520+07:00,19.700000762939453,40.900001525878906,9.0,172.9760075277923,6.670000076293945,0.0,1
2025-01-27 15:58:38.865370+07:00,19.700000762939453,40.79999923706055,10.0,165.15651059236478,6.670000076293945,0.0,1
2025-01-27 16:00:38.782474+07:00,19.700000762939453,41.20000076293945,9.0,169.22396883961977,6.670000076293945,0.0,1
2025-01-27 16:02:39.403567+07:00,19.799999237060547,41.09999847412109,9.0,173.19585810027647,5.829999923706055,0.0,1
2025-01-27 16:04:40.420741+07:00,19.799999237060547,41.59999847412109,9.0,167.39281831888474,5.829999923706055,0.0,1
